"parental_income","working","study_time","course_b","course_a","relevant_knowledge","course_x","gender","math_aptitude","high_school_math","course_c"
"avg","no","1-3","passed","failed","most","passed","f","low","D","failed"
"high","yes","0-1","passed","failed","most","passed","m","low","D","failed"
"high","no","3-6","failed","passed","some","failed","m","avg","B","passed"
"low","yes","1-3","failed","failed","none","failed","f","high","B","passed"
"low","yes","0-1","passed","failed","some","passed","f","high","C","passed"
"avg","yes","1-3","passed","failed","some","failed","m","low","D","passed"
"avg","no","3-6","failed","failed","none","failed","m","low","D","failed"
"low","yes","3-6","passed","failed","some","passed","f","low","D","failed"
"avg","no","1-3","failed","failed","none","failed","f","avg","D","failed"
"avg","no","1-3","passed","failed","some","passed","f","avg","C","passed"
"avg","yes","0-1","failed","failed","none","failed","m","avg","A","passed"
"low","yes","1-3","passed","failed","some","passed","f","low","C","failed"
"low","yes","1-3","passed","failed","none","failed","m","low","D","failed"
"high","yes","1-3","passed","failed","some","passed","f","avg","D","passed"
"avg","yes","3-6","passed","failed","some","failed","m","avg","C","failed"
"low","yes","0-1","failed","failed","none","failed","m","high","B","failed"
"avg","yes","1-3","failed","failed","none","failed","f","avg","C","passed"
"high","no","3-6","passed","failed","most","passed","m","low","B","failed"
"low","yes","0-1","failed","failed","none","failed","f","avg","A","passed"
"low","yes","0-1","failed","failed","none","failed","m","avg","D","passed"
"low","yes","0-1","failed","failed","none","failed","m","avg","C","passed"
"avg","yes","0-1","failed","failed","none","failed","m","avg","B","passed"
"low","no","1-3","passed","passed","most","passed","m","avg","D","failed"
"high","no","1-3","failed","failed","none","failed","f","avg","A","failed"
"high","no","1-3","passed","passed","some","passed","m","avg","B","passed"
"low","yes","1-3","failed","failed","none","passed","f","avg","C","passed"
"avg","yes","3-6","passed","passed","some","passed","m","avg","B","passed"
"avg","yes","1-3","failed","failed","none","passed","f","high","D","passed"
"avg","no","6-12","passed","passed","most","passed","m","avg","B","passed"
"high","no","3-6","failed","passed","most","passed","m","avg","B","passed"
"high","yes","1-3","passed","failed","some","failed","m","avg","B","failed"
"high","no","6-12","passed","passed","some","passed","m","high","B","passed"
"avg","no","3-6","passed","passed","most","passed","m","avg","B","passed"
"high","no","3-6","passed","passed","none","failed","m","high","A","passed"
"high","no","6-12","passed","passed","none","failed","f","low","D","passed"
"avg","no","3-6","failed","passed","none","failed","m","avg","D","passed"
"low","yes","1-3","failed","failed","none","failed","m","avg","D","failed"
"avg","no","1-3","passed","failed","some","passed","m","avg","B","failed"
"low","yes","0-1","passed","passed","some","passed","f","avg","B","failed"
"low","yes","0-1","failed","failed","none","failed","f","avg","D","passed"
"high","no","3-6","passed","failed","some","failed","m","low","D","failed"
"low","yes","1-3","passed","passed","most","passed","f","high","B","passed"
"low","no","1-3","failed","failed","none","failed","m","low","C","failed"
"avg","yes","0-1","passed","failed","some","failed","f","high","B","passed"
"avg","no","1-3","passed","failed","some","failed","m","low","D","failed"
"avg","yes","1-3","failed","passed","none","passed","m","high","A","failed"
"high","no","1-3","passed","passed","some","passed","m","avg","B","failed"
"high","no","3-6","failed","failed","none","failed","f","low","D","failed"
"avg","yes","1-3","failed","passed","some","failed","f","avg","A","failed"
"high","no","1-3","passed","failed","some","passed","m","avg","B","failed"
"avg","no","6-12","passed","passed","most","passed","m","low","D","passed"
"low","yes","0-1","failed","failed","none","failed","f","low","C","passed"
"low","no","6-12","failed","passed","most","passed","m","avg","D","passed"
"high","no","3-6","passed","failed","some","passed","m","avg","A","passed"
"avg","no","1-3","failed","failed","none","failed","f","avg","C","passed"
"low","yes","3-6","passed","passed","most","passed","m","avg","B","passed"
"low","yes","3-6","passed","failed","some","failed","f","low","D","passed"
"high","no","1-3","failed","failed","none","failed","f","low","D","passed"
"high","no","0-1","failed","failed","none","failed","m","high","A","failed"
"low","no","1-3","failed","failed","none","failed","f","avg","A","passed"
"avg","yes","0-1","failed","failed","none","failed","f","low","D","failed"
"low","yes","0-1","passed","failed","most","passed","m","avg","B","passed"
"low","yes","1-3","failed","failed","none","failed","m","low","D","failed"
"high","no","3-6","failed","failed","none","failed","f","low","D","failed"
"high","no","1-3","passed","passed","most","passed","f","high","B","passed"
"low","yes","1-3","passed","passed","most","passed","f","avg","C","passed"
"low","no","0-1","failed","passed","some","passed","f","high","A","passed"
"avg","no","3-6","passed","passed","most","passed","m","avg","A","failed"
"low","yes","1-3","failed","passed","most","failed","m","avg","D","passed"
"high","yes","0-1","failed","passed","most","passed","f","avg","A","passed"
"high","yes","6-12","passed","passed","some","passed","f","avg","A","passed"
"low","yes","0-1","failed","failed","none","failed","m","avg","C","failed"
"high","yes","0-1","failed","failed","none","failed","m","avg","B","failed"
"high","no","3-6","passed","failed","none","failed","m","high","B","failed"
"low","yes","3-6","passed","passed","some","passed","m","high","B","passed"
"high","no","3-6","passed","failed","most","passed","f","avg","B","passed"
"high","no","6-12","passed","passed","most","passed","m","low","D","failed"
"low","yes","3-6","failed","passed","some","failed","m","avg","B","failed"
"avg","yes","1-3","passed","passed","most","passed","m","high","B","passed"
"high","no","3-6","failed","failed","none","passed","f","avg","C","failed"
"high","no","3-6","passed","passed","some","failed","f","high","A","passed"
"low","no","1-3","passed","passed","some","passed","f","avg","C","passed"
"high","no","1-3","failed","failed","none","failed","f","high","B","passed"
"avg","no","3-6","passed","passed","some","failed","m","low","D","failed"
"high","no","3-6","passed","passed","some","failed","m","avg","B","passed"
"avg","no","3-6","passed","passed","most","passed","m","avg","A","passed"
"avg","yes","0-1","failed","failed","none","failed","m","avg","C","passed"
"avg","yes","1-3","failed","failed","none","failed","f","low","C","failed"
"low","yes","1-3","passed","passed","most","failed","f","avg","B","passed"
"avg","no","1-3","failed","failed","none","failed","m","avg","D","passed"
"avg","yes","1-3","failed","passed","some","passed","f","avg","B","passed"
"low","no","3-6","passed","passed","some","passed","m","high","D","passed"
"avg","yes","3-6","passed","passed","some","passed","m","avg","C","passed"
"low","yes","3-6","failed","passed","none","failed","m","avg","D","failed"
"low","yes","1-3","failed","passed","some","passed","f","avg","B","passed"
"avg","yes","0-1","passed","passed","most","passed","m","avg","C","failed"
"high","no","3-6","passed","passed","most","passed","f","high","D","failed"
"high","no","6-12","failed","failed","none","passed","m","avg","D","passed"
"low","yes","3-6","passed","passed","some","failed","f","avg","C","failed"
"avg","no","3-6","passed","passed","some","failed","m","high","C","passed"
"high","no","1-3","passed","passed","some","failed","m","avg","C","failed"
"avg","yes","1-3","passed","failed","none","failed","f","low","B","failed"
"avg","yes","0-1","failed","failed","none","passed","m","avg","B","failed"
"low","yes","3-6","passed","failed","none","failed","m","avg","C","passed"
"high","no","3-6","passed","passed","most","passed","m","avg","D","passed"
"avg","yes","3-6","passed","passed","most","passed","f","high","A","passed"
"avg","yes","1-3","failed","passed","some","passed","f","avg","B","passed"
"avg","yes","1-3","passed","passed","some","failed","m","low","C","failed"
"avg","no","0-1","failed","failed","none","passed","f","high","A","passed"
"low","yes","1-3","passed","failed","none","failed","m","low","D","failed"
"avg","no","3-6","failed","failed","none","passed","m","avg","C","passed"
"high","no","0-1","failed","failed","none","failed","f","avg","B","passed"
"high","no","1-3","failed","passed","most","passed","f","high","A","passed"
"high","no","3-6","passed","passed","some","passed","f","avg","A","passed"
"low","yes","0-1","failed","failed","some","failed","f","avg","C","passed"
"high","no","3-6","failed","failed","none","failed","f","avg","C","failed"
"high","no","3-6","passed","passed","some","passed","m","high","A","passed"
"low","yes","1-3","passed","failed","some","failed","m","low","D","failed"
"low","yes","0-1","failed","passed","none","failed","m","high","A","passed"
"high","no","3-6","passed","failed","some","passed","f","high","A","passed"
"low","yes","1-3","failed","failed","none","failed","m","high","B","passed"
"avg","yes","0-1","failed","failed","some","passed","m","avg","B","passed"
"high","no","6-12","passed","passed","most","passed","f","high","A","passed"
"high","yes","3-6","passed","passed","some","failed","m","avg","B","passed"
"high","no","1-3","failed","failed","none","failed","f","avg","A","failed"
"avg","no","6-12","passed","passed","some","passed","m","avg","C","passed"
"avg","yes","1-3","failed","passed","some","passed","f","high","D","passed"
